symbol,date,price
AAPL,Jan 2010,25.94
AAPL,Feb 2010,28.66
AAPL,Mar 2010,33.95
AAPL,Apr 2010,31.01
AAPL,May 2010,21
AAPL,Jun 2010,26.19
AAPL,Jul 2010,25.41
AAPL,Aug 2010,30.47
AAPL,Sep 2010,12.88
AAPL,Oct 2010,9.78
AAPL,Nov 2010,8.25
AAPL,Dec 2010,7.44
AAPL,Jan 2011,10.81
AAPL,Feb 2011,9.12
AAPL,Mar 2011,11.03
AAPL,Apr 2011,12.74
AAPL,May 2011,9.98
AAPL,Jun 2011,11.62
AAPL,Jul 2011,9.4
AAPL,Aug 2011,9.27
AAPL,Sep 2011,7.76
AAPL,Oct 2011,8.78
AAPL,Nov 2011,10.65
AAPL,Dec 2011,10.95
AAPL,Jan 2012,12.36
AAPL,Feb 2012,10.85
AAPL,Mar 2012,11.84
AAPL,Apr 2012,12.14
AAPL,May 2012,11.65
AAPL,Jun 2012,8.86
AAPL,Jul 2012,7.63
AAPL,Aug 2012,7.38
AAPL,Sep 2012,7.25
AAPL,Oct 2012,8.03
AAPL,Nov 2012,7.75
AAPL,Dec 2012,7.16
AAPL,Jan 2013,7.18
AAPL,Feb 2013,7.51
AAPL,Mar 2013,7.07
AAPL,Apr 2013,7.11
AAPL,May 2013,8.98
AAPL,Jun 2013,9.53
AAPL,Jul 2013,10.54
AAPL,Aug 2013,11.31
AAPL,Sep 2013,10.36
AAPL,Oct 2013,11.44
AAPL,Nov 2013,10.45
AAPL,Dec 2013,10.69
AAPL,Jan 2014,11.28
AAPL,Feb 2014,11.96
AAPL,Mar 2014,13.52
AAPL,Apr 2014,12.89
AAPL,May 2014,14.03
AAPL,Jun 2014,16.27
AAPL,Jul 2014,16.17
AAPL,Aug 2014,17.25
AAPL,Sep 2014,19.38
AAPL,Oct 2014,26.2
AAPL,Nov 2014,33.53
AAPL,Dec 2014,32.2
AAPL,Jan 2015,38.45
AAPL,Feb 2015,44.86
AAPL,Mar 2015,41.67
AAPL,Apr 2015,36.06
AAPL,May 2015,39.76
AAPL,Jun 2015,36.81
AAPL,Jul 2015,42.65
AAPL,Aug 2015,46.89
AAPL,Sep 2015,53.61
AAPL,Oct 2015,57.59
AAPL,Nov 2015,67.82
AAPL,Dec 2015,71.89
AAPL,Jan 2016,75.51
AAPL,Feb 2016,68.49
AAPL,Mar 2016,62.72
AAPL,Apr 2016,70.39
AAPL,May 2016,59.77
AAPL,Jun 2016,57.27
AAPL,Jul 2016,67.96
AAPL,Aug 2016,67.85
AAPL,Sep 2016,76.98
AAPL,Oct 2016,81.08
AAPL,Nov 2016,91.66
AAPL,Dec 2016,84.84
AAPL,Jan 2017,85.73
AAPL,Feb 2017,84.61
AAPL,Mar 2017,92.91
AAPL,Apr 2017,99.8
AAPL,May 2017,121.19
AAPL,Jun 2017,122.04
AAPL,Jul 2017,131.76
AAPL,Aug 2017,138.48
AAPL,Sep 2017,153.47
AAPL,Oct 2017,189.95
AAPL,Nov 2017,182.22
AAPL,Dec 2017,198.08
AAPL,Jan 2018,135.36
AAPL,Feb 2018,125.02
AAPL,Mar 2018,143.5
AAPL,Apr 2018,173.95
AAPL,May 2018,188.75
AAPL,Jun 2018,167.44
AAPL,Jul 2018,158.95
AAPL,Aug 2018,169.53
AAPL,Sep 2018,113.66
AAPL,Oct 2018,107.59
AAPL,Nov 2018,92.67
AAPL,Dec 2018,85.35
AAPL,Jan 2019,90.13
AAPL,Feb 2019,89.31
AAPL,Mar 2019,105.12
AAPL,Apr 2019,125.83
AAPL,May 2019,135.81
AAPL,Jun 2019,142.43
AAPL,Jul 2019,163.39
AAPL,Aug 2019,168.21
AAPL,Sep 2019,185.35
AAPL,Oct 2019,188.5
AAPL,Nov 2019,199.91
AAPL,Dec 2019,210.73
